rank,name,score,source,SMILES
"
67,AG-690/36427043,1.539,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SCC)c1ccccc1	AG-690/36427043
"
68,AE-641/00376063,1.538,Specs,"c1ccc(cc1)c1cc(n(c2ccccc2)n1)N	AE-641/00376063
"
69,AO-476/43201397,1.537,Specs,"c1ccc(cc1)c1c2c(c(=S)[nH]nc2c2ccccc2)nn1c1ccccc1	AO-476/43201397
"
70,ZINC00384358,1.535,Specs,"c1cc(cnc1)c1nc(cs1)c1ccc(cc1)CC	ZINC00384358
"
71,AO-476/43249991,1.535,Specs,"c1ccc(cc1)c1c2c(c(=O)[nH]nc2c2ccccc2)nn1c1ccc(cc1)F	AO-476/43249991
"
72,AO-476/43249986,1.535,Specs,"c1ccc(cc1)c1c2c(c(=O)[nH]nc2c2ccccc2)nn1c1ccccc1F	AO-476/43249986
"
73,AE-641/14883017,1.534,Specs,"c1ccc(cc1)c1c(c(C(=O)OC)n(c2ccccc2)n1)C	AE-641/14883017
"
74,AF-826/30392059,1.534,Specs,"c1cc(ccc1c1c2c(c(C(=O)OCC)sc2nc(n1)SC)N)Cl	AF-826/30392059
"
75,AN-919/15183003,1.533,Specs,"C(#N)c1c(cc(c2ccccc2)nc1S)c1ccc(cc1)C(F)(F)F	AN-919/15183003
"
76,AG-690/40749964,1.533,Specs,"C(#N)c1c(cc(c2ccc(cc2)C)nc1SC(C)C)c1ccc(cc1)Cl	AG-690/40749964
"
77,AO-476/43249984,1.532,Specs,"c1ccc(cc1)c1c2c(c(=O)[nH]nc2c2ccccc2)nn1c1ccc(cc1)C	AO-476/43249984
"
78,AO-476/43249988,1.532,Specs,"c1ccc(cc1)c1c2c(c(=O)[nH]nc2c2ccccc2)nn1c1ccc(cc1)Cl	AO-476/43249988
"
79,AM-807/12426015,1.53,Specs,"c1cc(c2cc(c3c(c(C(=O)OC(C)C)sc3n2)N)c2ccc(cc2)F)sc1	AM-807/12426015
"
80,AJ-916/40989362,1.53,Specs,"c1cc(cc(c1)Br)c1c2cn(c3ccc(cc3)Br)nc2c(C)nn1	AJ-916/40989362
"
81,AG-690/11480698,1.528,Specs,"c1cc(ccc1c1csc2c1c(=O)n(cn2)N)Cl	AG-690/11480698
"
82,AH-262/11508001,1.527,Specs,"c1ccc(cc1)c1c2c(C(=O)C=CC2=O)n(c2ccccc2)n1	AH-262/11508001
"
83,AO-476/40672138,1.526,Specs,"c1ccc(cc1)N1[C@@H]2[C@@H](C=N1)[C@H](N(CN2)NC(=S)NC)N	AO-476/40672138
"
84,AF-399/15336046,1.526,Specs,"c1ccc(cc1)c1csc2c1c1nncn1cn2	AF-399/15336046
"
85,AE-848/34408043,1.522,Specs,"C(#N)c1c(cc(c2ccccc2)nc1SC)c1ccc(cc1)OC	AE-848/34408043
"
86,AH-487/40652398,1.522,Specs,"c1ccc(cc1)c1cc(c2c(c3ccc(cc3)C(C)(C)C)nn(c3ccccc3)c2n1)C(F)(F)F	AH-487/40652398
"
87,AO-476/43201369,1.521,Specs,"c1ccc(cc1)c1c2c(c(nn1)Cl)nn(c1ccccc1)c2c1ccccc1	AO-476/43201369
"
88,AM-879/15041697,1.521,Specs,"C(#N)c1c(cc(c2ccccc2)nc1N)c1cccc(c1)OC	AM-879/15041697
"
89,AG-690/40749470,1.521,Specs,"C(#N)c1c(cc(c2ccc(cc2)OC)nc1SC(C)C)c1ccc(cc1)Cl	AG-690/40749470
"
90,AM-807/12740324,1.52,Specs,"c1cc(c2cc(c3c(c(C(=O)NC(C)C)sc3n2)N)c2ccc(cc2)Cl)sc1	AM-807/12740324
